t,drawdown
241,-0.014401114814571847
242,-0.02416869623429818
243,-0.007262128360359221
244,-0.005801815308733915
245,-0.014837349513583065
246,-0.024293990792652598
247,-0.015633205482828094
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,-0.006564294670157622
255,0.0
256,-0.007838170844955417
257,-0.0008012701186878024
258,0.0
259,-0.0046430666247374575
260,-0.014009260668870871
261,0.0
262,-0.025237224654305
263,-0.018846327911949734
264,-0.01924440337174771
265,-0.028094301894326934
266,-0.029854854389330443
267,-0.02228544384737685
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,-0.005589447775469214
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,-0.00038164326835987694
283,-0.01937567595192391
284,-0.040690077322059204
285,-0.019403350910949912
286,-0.014729552543431002
287,-0.016478106868315634
288,-0.00843769497274216
289,0.0
290,-0.019347129128247542
291,-0.027597269514381018
292,-0.0236855256204076
293,-0.010380455953467926
294,-0.01954151231265089
295,-0.010166056256390887
296,-0.011059673634056577
297,-0.0350962227207422
298,-0.028311609764629764
299,-0.044255949194497046
300,-0.0592884903066625
301,-0.036165321535795214
302,-0.05910330604788505
303,-0.058602693853761045
304,-0.0427925634471219
305,-0.04015901989055293
306,-0.01679816524099864
307,-0.002214423169948687
308,0.0
309,-0.004066682087736528
310,0.0
311,-0.0029936048968222106
312,0.0
313,-0.008759917002299167
314,-0.0061767615962602385
315,0.0
316,0.0
317,-0.018087281600858596
318,-0.0339334142542701
319,-0.027923102352077622
320,-0.021014811936990285
321,-0.03600086636523103
322,-0.05175361530116751
323,-0.04582177386681452
324,-0.038782944175372536
325,-0.04646416474829729
326,-0.04123985989691503
327,-0.04324174539533543
328,-0.02256534322336301
329,-0.0246955444515512
330,-0.011583099460269253
331,-0.0054425382131949585
332,-0.010689131800143192
333,-0.0058123122413265005
334,-0.014987103775494948
335,-0.012417218919007045
336,-0.0006270258160827602
337,-0.012993794420575355
338,-0.0237222469192212
339,-0.021320501996696106
340,-0.0027632405583256636
341,-0.005217724900036025
342,0.0
343,0.0
344,-0.00751507102025506
345,0.0
346,0.0
347,0.0
348,-0.018640463439827726
349,-0.01626307034294039
350,-0.024551733158414968
351,-0.02682560308722859
352,0.0
353,0.0
354,0.0
355,-0.013725656952702892
356,-0.023376391709206468
357,-0.03596317584816
358,-0.02694373571442732
359,-0.041275410200690366
360,-0.03049984264508332
